"Address","Datum","Labels"
139622824956177,s, 10
139622824956178,e, 10
139622824956179,e, 10
139622824956180,d, 10
139622824956181,e, 10
139622824956182,l, 10
139622824956183,g, 10
139622824956184,g, 10

139622824956201,s, 10
139622824956202,e, 10
139622824956203,e, 10
139622824956204,d, 10
139622824956205,e, 10
139622824956206,l, 10
139622824956207,g, 10
139622824956208,g, 10

139622824956177,s, 10
139622824956178,e, 10
139622824956179,e, 10
139622824956180,d, 10
139622824956181,e, 10
139622824956182,l, 10
139622824956183,g, 10
139622824956184,g, 10

139622824956201,s, 10
139622824956202,e, 10
139622824956203,e, 10
139622824956204,d, 10
139622824956205,e, 10
139622824956206,l, 10
139622824956207,g, 10
139622824956208,g, 10

